id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
393,14309,1664944125443,1664944138143,1664944158025,1,0,0,11133
392,14309,1664944082368,1664944100214,1664944108325,2,2,1,11133
391,14307,1664944032051,1664944042314,1664944065813,2,2,2,11133
390,14306,1664943957350,1664943972345,1664944011344,2,2,2,11133
389,14305,1664943908625,1664943923196,1664943942079,2,2,2,11133
388,14304,1664943866523,1664943882145,1664943888474,2,2,2,11133
386,14303,1664943777515,1664943783248,1664943802471,1,2,2,11133
387,14303,1664943815773,1664943834761,1664943854182,2,2,2,11133
477,14392,1664950116201,1664950119093,1664950129009,1,0,0,11139
476,14391,1664950070390,1664950085235,1664950091075,1,2,1,11139
475,14390,1664950021750,1664950035502,1664950041692,1,1,1,11139
474,14389,1664949980895,1664949989872,1664949994945,1,2,2,11139
473,14388,1664949938408,1664949951665,1664949956904,1,1,1,11139
472,14387,1664949897887,1664949912291,1664949917928,0,1,0,11139
471,14386,1664949864409,1664949867164,1664949874991,0,0,0,11139
470,14386,1664949843219,1664949856993,1664949860532,1,1,1,11139
469,14385,1664949795865,1664949805564,1664949820749,1,1,1,11139
468,14384,1664949733666,1664949736413,1664949765841,1,1,1,11139
467,14384,1664949711702,1664949716274,1664949720547,1,1,1,11139
466,14383,1664949681648,1664949685347,1664949699924,1,1,1,11139
465,14383,1664949666225,1664949669125,1664949677405,0,0,0,11139
464,14382,1664949620766,1664949625339,1664949642695,1,1,2,11139
463,14381,1664949595357,1664949601379,1664949612469,1,2,1,11139
462,14380,1664949557057,1664949561627,1664949569421,0,0,0,11139
461,14377,1664949462202,1664949473481,1664949478022,1,1,0,11139
460,14376,1664949410475,1664949426047,1664949440221,2,1,2,11139
459,14375,1664949368553,1664949379957,1664949388180,1,1,1,11139
458,14374,1664949310070,1664949327302,1664949342561,1,1,1,11139
457,14373,1664949260020,1664949274357,1664949285322,1,2,1,11139
456,14372,1664949194917,1664949216218,1664949234298,1,1,2,11139
455,14371,1664949146684,1664949155218,1664949163018,1,1,1,11139
454,14370,1664949103385,1664949107403,1664949120274,2,1,2,11139
453,14369,1664949056127,1664949067398,1664949083421,1,1,1,11139
452,14368,1664949016069,1664949022897,1664949036951,1,1,1,11139
451,14367,1664948973694,1664948981542,1664948990808,1,2,1,11139
450,14366,1664948925867,1664948932005,1664948949430,1,1,1,11139
449,14365,1664948888586,1664948893157,1664948898627,0,0,0,11139
448,14364,1664948842975,1664948863480,1664948881906,1,1,2,11139
447,14363,1664948802006,1664948818482,1664948827467,1,1,0,11139
446,14362,1664948762879,1664948768024,1664948785683,1,1,1,11139
445,14361,1664948692117,1664948734887,1664948743497,2,2,2,11139
444,14360,1664948657833,1664948662405,1664948669271,0,0,0,11139
443,14360,1664948616739,1664948641836,1664948649203,1,2,2,11139
442,14358,1664948568383,1664948578168,1664948589796,1,1,1,11139
441,14357,1664948536200,1664948540775,1664948546780,0,0,0,11139
440,14357,1664948506014,1664948516502,1664948526659,1,2,1,11139
439,14355,1664948462568,1664948467984,1664948486730,0,0,0,11139
438,14354,1664948298974,1664948311481,1664948432002,1,1,1,11139
437,14353,1664948263752,1664948276120,1664948283831,0,0,0,11139
436,14352,1664948225347,1664948230829,1664948249619,0,1,0,11139
435,14352,1664948191517,1664948203231,1664948216579,1,1,2,11139
434,14350,1664948147222,1664948154393,1664948165100,0,1,1,11139
527,14444,1664953781546,1664953786131,1664953792019,0,0,0,11147
526,14443,1664953760831,1664953721885,1664953770920,2,2,2,11147
525,14442,1664953705069,1664953721885,1664953730268,1,1,1,11147
524,14441,1664953659226,1664953674900,1664953675760,1,1,0,11147
523,14440,1664953619946,1664953631681,1664953628907,2,2,2,11147
522,14439,1664953576271,1664953523118,1664953585928,1,1,1,11147
521,14438,1664953506647,1664953523118,1664953543475,2,2,2,11147
520,14437,1664953463905,1664953425040,1664953480080,1,1,1,11147
519,14436,1664953420471,1664953425040,1664953436437,0,0,0,11147
518,14435,1664953392469,1664953397045,1664953410369,0,0,0,11147
517,14434,1664953358504,1664953367600,1664953382711,2,2,2,11147
516,14433,1664953312358,1664953280391,1664953329195,2,2,2,11147
515,14432,1664953269260,1664953280391,1664953280654,0,0,0,11147
514,14431,1664953236511,1664953254639,1664953250085,1,2,2,11147
513,14430,1664953193982,1664953203702,1664953206459,1,1,2,11147
